sentiment,comment
negative,"Mỗi nghe gọi lướt tý web vì sợ hết pin thì chả rầm_rầm : ) ) nhìn mấy thánh dùng iphone lúc_nào cũng kè_kè ổ_cắm mà thấy buồn_cười không chịu nổi .
"
negative,"Em dùng I607 sao sạc pin pin nó k lên ngay mà phải rút sạc rs máy ( lu ́ c lên thi ̀ la ̀ pin yê ́ u ) cắm sạc thì nó mới lên pin có ai bị vậy k ? . Em du ̀ ng wm 6.5 Ma ̀ sạc râ ́ t lâu đâ ̀ y ... ?  
"
negative,"﻿10.11.3_mac 13 "" 2015 mà ... ... . cảm_thấy chuột ko mượt ( khá là khó_chịu  
"
positive,"Note_2 vẫn còn quá tốt : D
"
positive,"Hàng điện_tử thì khó nói trước ! Ko phải tôi nói ra để bênh_vực asus . Vì tôi đã từng xài 1 con zen_5 hàng_xách tay nha , chứ ko đc hàng chính hãng đâu . Vậy_mà xài ngon_lành cành đào cả gần 2 năm , chỉ vì gây_lộn với bx nên vung tay đập nát tươm cái đt luôn . À trong thời_gian đó tôi có giới_thiệu cho thằng bạn_thân cũng mua 1 con zen , xài đến bây_giờ chả thấy nó nói máy bị gì hết . Trải_nghiệm của riêng bản_thân thôi , có_thể tôi ko bị xiu như bạn .
"
positive,"Sau_này chỉ dùng vì ios là hệ_điều_hành ổn_định
"
negative,"Viền cạnh dưới quá to . Quá bảo_thủ với kiểu thiết_kế này , không hợp_thời . Ắt sẽ lại thất_bại !
"
neutral,"Apple watch chống được nước ở chế_độ : Water resistant * * ( http : / / www.apple.com/shop/buy-watch ... hite-sport-band ? product = MJ2T2LL / A& step = detail ) Bạn đối_chiếu vào bảng này nhé ( có_thể đi bơi được nhưng oẳng lúc_nào không biết nhé )  
"
neutral,"mới mua 1 cái Miband , xài với ios . Nhu_cầu mình thì đơn_giản , chỉ cần theo_dõi đi bộ / đá bóng thôi . Còn các thông_báo gì đó mình không cần , tối chỉ cần bật bluethooth vài giây để đồng_bộ qua điện_thoai . Vậy pin chắc cả tháng mới hết
"
positive,"Dòng tivi OLED chất quá , đúng đắng_cấp là dòng tivi cao_cấp .
"
negative,"Thôi em lấy Bphone còn chất hơn nhiều
"
negative,"﻿G2 mỏng_manh lắm bác ơi , có nghe về vụ mành_hình của nó nến hồi hôm_qua mình có đem con HTC_one_m_7 đi giao_lưu với nó thì khi tést máy lúc mát thì bình_thường nhưng khi nóng máy là bị dực dực màng_hình ...  
"
negative,"﻿thế_thì quất thôi , chứ con miband_1s của e bên ios hỗ_trợ tệ quá ko có chức_năng j  
"
neutral,"trước_đây mình từng dùng Sony_SW2 và kết_nối 24/24 thế_rồi , cũng bt ko có gì phải phát điên cả )
"
negative,"cống_rãnh đòi sóng_sánh với đại_dương
"
positive,"rat tốt mua di bạn , nhà tôi mua smart cua sam_sung 3 năm rồi
"
negative,"17 củ , có nhầm không HTC
"
negative,"Cái vòng này đeo đo vớ_vẩn kinh .  
"
positive,"Máy khá đẹp , viền mỏng , màn_hình choán gần trọn mặt trước nên máy cầm trên tay rất gọn . Dung_lượng pin khá cao . Rất tiếc là Android mà ko up rom được . Giá em này khoảng bao_nhiêu nhỉ ?  
"
neutral,"cảm_giác như fitbit_suger_2 , chạy android_wear thì hơi kì_cục quá , vòng thể_thao đâu cần chạy cái hđh không liên_quan này ta không liên_quan mà anh_em nào quan_tâm smartwatch thì tham_gia hội smartwatch việt nam giao_lưu chia_sẻ này nha : https : / / www.facebook.com/groups/smartwachvietnam /
"
negative,"đúng như bác fann - ryu nói . mình làm sim vina sáng nay thấy bản kim_loại to hơn hẳn sim vịt teo . sáng giờ chưa maatd sóng lần nào . sim vịt teo 5 phút mất 1 lần  
"
negative,"Và táo cắn dở phải mua bút kèm theo chứ k có sẵn : ) )
"
neutral,"Nó không có lựa_chọn là "" gõ "" 2 cái là tin_nhắn , "" gõ "" 3 cái là email hả bác ?
"
negative,"Con này sao lỗi nguồn nhìu thế nhỉ , trong này đã 2 người bị rồi  
"
positive,"Em này ngon mà nhìn cũng được phết  
"
negative,"﻿đang phân_vân giữa v_10 và SS_a9_pro . Nge các bác nói tớ qđ lun Tớ xài G3 2 năm rồi . Không hài_lòng ở 2 chỗ : 1 . Nứt khe cắm sạc = > may còn bh xách đi dc thay vỏ mới . 2 . Pin cực_kì hao , chắc do gánh màn 2K . Pin chính hãng đã ra_đi ... giờ đang xài pin TQ 250k cục ... . wifi đọc báo chat chit tầm 4 tiếng là hết zzz .  
"
neutral,"Bác sài laptop gì . Sài mac bluetooth bị lag đứt quảng . Dùng với usb reciever thì k bị .  
"
neutral,"Chuột ko dây của Logitech giá cao quá , thật_ra nếu nói bền thì cũng chưa chắc , vì mình xài qua mấy_đời chuột ko dây của Logi rùi , vẫn mang đi bh như_thường  
"
negative,"﻿Em j này màn ám vàng . Các bác nên đợi thêm time làm em G3_docomo cho máu  
"
positive,"oh my got . gom lúa thôi . riêng android chỉ mê mỗi fujitsu  
"
positive,"Note_7 quá đẹp , quá hoàn_hảo . Tuyệt_vời !
"
neutral,"trước thấy trên youtube vẫn có rất nhiều game sử_dụng kinect như chém trái_cây , đấu đối_kháng , nhìn vẫn rất hấp_dẫn mà  
"
negative,"﻿uhn_wf để phòng khách mà trong buồng thươngt_xuyên mất sóng  
"
positive,"Mình dùng Note3 và vẫn hài_lòng với lựa_chọn của mình .
"
positive,"Đẹp quá ... ! Tôi yêu samsung
"
neutral,"giá_trị chất_xám ở chỗ đó . đưa đống cát đấy cho mấy ông việt_nam chắc đc mấy chai coca • ﹏ •
"
neutral,"Ngoài_ra , một_số anh_em Android gặp lỗi không_thể thông_báo khi có tin_nhắn mặc_dù đã bật trong Mifit , tuy_nhiên chỉ là thiểu_số và có người sửa được , có người không . iOS có_vẻ ổn_định hơn nhưng không nhiều tính_năng bằng Android . [ / QUOTE] có bác nào sửa đc báo run khi có sms chỉ mình với , mình đang dung nó với s_7_edge , cám_ơn nhiều
"
negative,"﻿Ss nút tăng , giảm âm dở lắm , trước mình xài glaxy_s_3 cũng bi hư phần tăng_âm , chùi không hết phải thay , giờ đang xài not 4 cũng không còn nhạy nửa . Mình thích chụp hình quay_phim , nghe nhạc nên đang tính chuyển qua iphone giống bx cho lành
"
neutral,"Phê quá dành cho doanh_nghiệp với ai cần lưu game hay phim nhạc nhiều . Mình thì cần khoảng 500gb là ok mong sao down giá nữa  
"
positive,"6s dep và gọn_gàng trong sử_dụng . 1 người dùng a 9pro và 6s + cho_hay . Sam seeder ghê thặc
"
negative,"iPhone chẳng cần hạ độ_phân_giải màn_hình đã có chế_độ tiết_kiệm pin tự_động từ rất lâu rồi . Giờ_Sam mới có , đúng "" chuối "" luôn .
"
neutral,"Khoảng 20 ngày Còn điện_thoại thì tùy , nhưng vì là bluetooth_4.0 nên cũng không hao mấy đâu
"
neutral,"đang xài ibuffalo_BsMBB08 xài phê giá bang 1/4 công_nghệ blue focus chơi được 1 số mặt kính . Giá con chuột này quá đắt .
"
negative,"Đang dùng hết pin thì_sao đây , iphone ngày_càng thiết_kế dở tệ hết sáng_tạo rồi .
"
negative,"﻿Màu xanh của note_7 đây mà
"
neutral,"Giá này nhiều em ngon hơn  
"
negative,"﻿Mình đang dùng con này thấy hay bị sut nguồn hoặc tự khởi_động lại , sóng cũng không ổn_đinh . Bạn muỗn xoá thì down chương_trình Go_Task_manager về hoặc vào setting - Applications - manage applications để tắt .  
"
positive,"nhìn chất quá đúng là hàng nhật có khác  
"
negative,"﻿Sam _sung phải ram 10gb mới mượt được , còn i_Phone chỉ cần 3Gb ram là đua tốt rồi . Đó là kha ́ c_biệt giữa i_Phone và Samsung .
"
neutral,"Chỉ là sx cái bộ_nhớ lớn , công_nghệ gì trong này vậy ! ? !  
"
negative,"pin yếu thì em biết nhưng của em lại còn lỗi pin nữa cơ , thế nên em mới chán ạ , ko biết ở hn có chỗ nào thay được pin nó ko ạ  
"
neutral,"Các bạn cho mình hỏi , Mi_Band_2 của mình không tự_động hiển_thị giờ khi đưa lên_mặt là do chưa kích_hoạt tính_năng gì hay_sao ạ ? Phải bấm nút mới hiển_thị , nhưng thấy giới_thiệu khi đưa lên_mặt , cảm_ứng sẽ nhận ra và hiển_thị giờ ? Chức_năng đo giấc_ngủ phải bật lên hay tự_động đi ngủ mang theo là nó bắt_đầu tính ạ ? Mình đang dùng Mi_Band_2 và kết_nối với Iphone_5 trên app Mi_Fit .
"
neutral,"Mình đeo smartwatch đấy mình cũng giống bạn ở chỗ vừa ngủ dậy là phải đưa ngay lên_tay xem nhiêu độ mà lạnh thế haha , với xem trong lúc ngủ có mail hay ai nhắn_tin không  
"
positive,"Mình mới mua một con , cảm_nhận : tuyệt_vời , đã làm những chuyện sau : 1 . Cài các soft thông_dụng của smart tv như fpt ... . ( voice serch trên youtube rất tuyệt - ko dùng voice search cho fpt play được ) 2 . Cài game : a . GTA_III sandadress , cực rõ , chơi không lag , rất mượt ( đang download cài Trine 2 ) b . PPSSPP : God of war : ghost of spartan và Chain of olympus , setting max performance của nó , hình đẹp hơn cả trên PSP luôn , dùng stupid tv 32 inch , chơi cũng phê lắm c . Giả_lập ps 1 : chơi Homie hopper ( nấm trứng ) giống như trên pc vậy d . Đặc_biệt nhất : Dolphin emulator , bản mới nhất đã chỉnh được overclock ( mình chỉnh 150% ) cho CPU trực_tiếp trên GUI nên không phải setting . ini cho cực , chơi giả_lập Wii quá tuyệt luôn Mario bros , Supper mario ( 1 +2 ) , shake it ! ... . ôi_thôi khỏi nói . Chỉ có một điều , mình không biết cái overclock có làm hại máy hay không thôi ( không biết có bác nào có kinh_nghiệm về cái này thì chia_sẻ với , cộng_đồng vn dùng cái này chưa được đông ) P / s : nó còn nhiều tính_năng hay khác nhưng ko thử được do ko có điều_kiện như_chơi 4K , Stream game ( Nvidia card requirements ) , Nvidia download games ... . Tóm_lại : đáng đồng_tiền , rất đáng mua so với mấy cái android box trung quốc kia . Xin upload vài chỉ_số so sanh để mọi người có_thể hình_dung về sức_mạnh của nó . Anyhow , we ’ ll start off with 3DMark ’ s Ice_Storm_Unlimited benchmark http : / / www.anandtech.com/show/9289/the-nvidia-shield-android-tv-review / 4 The NVIDIA_SHIELD Android TV Review : A_Premium 4K Set_Top_Box anandtech.com Up next we have BaseMark X 1.1 .  
"
neutral,"mong ssd sớm phổ_cập . 2 năm nữa mua cái ổ ssd 1 tb giá bằng 70% giờ thì tốt  
"
positive,"Pin e này trâu_bò nhất trong dòng smp nhật nhé bác , chắc chỉ thua sh_01f thôi , còn 01g thì same same  
"
neutral,"Tưởng 175k thì mua liền .  
"
positive,"Note_7 dù RAM "" chỉ "" 4GB thôi_thì họ nhà táo sâu cũng phải mê_mẩn thèm_thuồng đứng nhìn . Các fan của táo xin xách dép cho fan Sam đi là vừa . Nhớ đăng_ký sớm để có xuất xách dép sớm nha các fan táo sâu !
"
positive,"Vừa mua xong quá đẹp  
"
neutral,"đang hóng 1 em có camera .  
"
neutral,"Mình thấy nếu Nintendo phát_hành máy loại 4 nút này và phát_triển , sửa lại đồ_họa các game cũ ( Contra 1,2 ; KaGe ; Nấm ; ... ) cho đẹp hơn , phù_hợp với kiểu màn mới bây_giờ chắc là bán được nhiều sản_phẩm hơn . Nếu họ phát_hành máy như_vậy mình sẽ mua 1 bộ khi con_trai mình lớn tầm 7 tuổi , 2 bố_con chơi chung . He he Cái kiểu 30 game này chắc chỉ bán cho đồng_chí nào sưu_tập hay một_số quốc_gia nhiều tiền , mua về vài hôm chơi rồi quăng xó cho coi .  
"
negative,"Từ_biệt thương_hiệu samsung . Mua 1 lần duy_nhất và cả đời không mua nữa .
"
neutral,"em này nice , thiết_kế giống Gear_Fit_2 mà dùng được với i_OS nhưng giá cao quá (
"
negative,"Khong nen xai do tq !
"
negative,"Quá đắt cho em này
"
positive,"Ngon , bổ , rẻ
"
neutral,"Thực_tế có dùng tốt ở VN mình cũng chưa có chút suy_nghĩ gì để mua . Lúc đeo nó trừ chạy bộ hay 1 số môn thể_thao ra thì chẳng có mấy_khi ko cầm cùng lúc với đt . Mà đt nhanh và chi_tiết hơn . T đố ôg nào chơi đá bóng ko cầm đt mà đeo đh đó . = ) ) đh cơ t còn phải tháo ra chứ loại dễ vỡ này ko tháo chắc giàu dễ thay .  
"
neutral,"Cái Garmin em thích dùng lắm nhưng app connect mobile của nó làm cẩu_thả quá . Bên fitbit hiện_tại em dùng mỗi con blaze là có nhiều chức_năng nhất thôi . Mặc_dù chỉ có 2 đèn laser cảm_biến nhịp tim nhưng đo quá chuẩn luôn .  
"
positive,"note_2 vẫn đẹp ko tỳ vết ... nhưng cho vợ dùng rồi
"
neutral,"thích tay_cầm và hệ_điều_hành của Xbox hơn PS , làm được nhiều thứ khác , cái kinect nếu có game hay tận_dụng được thì cũng ngon , sau_này thêm cặp kính nữa_là đủ bộ chơi game siêu_thực rồi  
"
negative,"﻿Con của em cũng thế , pin yếu kinh_khủng , đang dùng rom_2.3.5 , chẳng làm_gì nhiều , nghe nhạc hơn tiếng_là sụt nguồn , lướt web 3g chụp ảnh ... làm_gì nặng là 1 tí là tắt ngỏm , chán thế , ko biết bị lỗi phần_cứng hay do rom nữa  
"
positive,"Công_nhận máy của Fu thiết_kế vô đối  
"
negative,"Chạy một tháng sau sẽ có cảm_giác ta đang đua với rùa !
"
positive,"Thật không_thể tin nổi , dung_lượng SSD hiện_tại đã lên đến 16TB  
"
negative,"﻿đang định lên con aiphone 7 mà nghe quảng_cáo thiếu nhiều thứ quá chắc không mua , tưởng dùng camera kép , tưởng dùng dual_pixel , tưởng dùng flash kép , tưởng bỏ home vậy lý , tưởng nhiều thứ nữa , vậy_mà giá trên trời , hjc hjc
"
negative,"Sau thời_gian copy Apple ở dòng flagship bị các ném đá , Samsung chuyển sang nhái ở các dòng tầm trung ít bị để_ý hơn ! ? !
"
neutral,"Thì bác không cài cái app đó trên điện_thoại là được , và tắt bluetooth luôn đi cho khỏi kết_nối . Mong em này về nhanh để còn khỏi mua đồng_hồ  
"
negative,"Đăng cấp tới đâu cũng sài Android nhìn như cục gạch , sao Vertu không làm OS riêng cho mình ? Nhìn cứ như hàng tầm_thường .
"
positive,"mình đang kết loại sp này !
"
neutral,"Mình mới mua em này dùng phê vãi , nhưng cho hỏi ở trong hộp có viên gì giống như viên pin đồng_hồ để làm_gì vậy  
"
positive,"Rồi , p03e , chiến_binh cuối_cùng của Panasonic , chụp hình là bá_đạo luôn , F05F ko có cửa so đâu nhé mặc_dù P03e ra_đời trước khá lâu , nước ảnh rất thật , màu trong và đẹp , quay_phim được cải_thiện hơn P02e ( bị mất focus khi quay_phim làm nó cứ lấy nét liên_tục , thành_phẩm sau khi quay xong bị nhòe , mất chi_tiết xem rất là bực_mình ) . Về âm_thanh , con này hỗ_trợ Maxx_Audio nghe nhạc phải nói là phê như con tê_tê . Sạc ko dây cực sành_điệu . Màn_hình cực đẹp , ở thời của P03e thì hắn ko có đối_thủ . Điểm trừ nằm ở thiết_kế , thiết_kế ko có điểm nhấn như P02e , nhìn nó thô và cục_mịch , màu vàng mình chưa xài chứ con màu đen của mình bị tróc cái viền mạ crôm 2 bên màn_hình nhìn rất tởm . Pin khá tốt dù chỉ có 2600ma . Chả hiểu sao Panasonic nó cứ làm_ăn thua_lỗ để rồi phải bán luôn mảng Mobile , chứ giờ mà Pana mà_còn sx đt thì mình chỉ tin_dùng nó thôi , trải_nghiệm rất tốt . Nếu bạn có muốn mua thì mình khuyên nên chọn bản màu vàng đồng , đừng chọn màu đen .  
"
neutral,"Kết_nối thì chỉ tốn pin đt là chính chứ pin Miband thì chắc ko ảnh_hưởng mấy , vì cái bluetooth của nó bật 24/24 thì_phải . Có cái là mình ko rõ nguyên_lý nó đo giấc_ngủ thế_nào mà khá chính_xác , ít_nhất là thời_gian mình bắt_đầu đi ngủ , thức_dậy và dậy giữa_chừng . Đo bước chân thì có_vẻ ko chính_xác cho lắm  
"
neutral,"SSD không xóa dự_liệu , chỉ đánh_dấu là trống có_thể ghi dữ_liệu lên thôi  
"
negative,"quá chát , chỉ dành cho bác nào thích độc tý . Mà dùng ăn roi mà không có rom nghịch cũng buồn  
"
positive,"Mình đang dùng con P9_huawei phải nói là quá đẹp , hoàn_thiện tốt mặt nhôm phía sau và mặt kính phía trước đẹp lắm , ai chưa dùng chứ dùng hàng Huawei tầm cấp cao của nó quá chuẩn luôn từ P8 đến P8 hay mate , cầm trực_tiếp xem rất đẹp
"
positive,"VN nhập về đi . Mình Đăng kí 10 chiếc . Ko thể tin nổi smartphone chưa đến 100k .
"
neutral,"làm đồng_hồ truyền_thống mà chơi hẳn sang Smart_watch thế_này : v Mua T-Touch của Tissot or Smartwatch của TAG_Heuer thì sang hơn
"
positive,"Cuc manh luon  
"
positive,"Quá tuyệt_vời cho 1 em điện_thoại Nhật . Công_nghệ hiện_tại chắc đang dẫn_đầu các dòng máy Android , có 1 số tính_năng học_hỏi từ các hãng khác như tính_năng cảm_ứng ko chạm màn_hình của Samsung S4 và chụp hình liên_tiếp của HTC One ... Thèm gì đâu mà thèm hix ! ! !  
"
neutral,"Mình có 6 cái HDD thì 3 cái samsung 500GB chết có đi theo một_ít dữ_liệu quan_trọng , còn lại Seegate và WD .  
"
positive,"Tưởng tỉ_lệ màn_hình vàng 3.5icnh và ram 512mb là ios là iphone của ifan chạy tốt vèo_vèo rồi , cầm gì chạy_đua màn_hình to như note hay ram nhiều như note để làm_gì đâu , ôi giờ_đây apple đang định_nghĩa lại đó thôi mà . Chúc mưng ifan xắp có iphone không có jack cắm tai_nghe rồi nhé . Chuẩn_bị được nghe nhạc bằng cổng sạc cơ đấy
"
negative,"﻿bạn này nói là quên tiền_mặt vs thẻ thì_có apple_pay trên AW để dùng , nói thật_là có cái này i_Phone nó cũng có , mà nhiều khi quên đeo đồng_hồ hơn là quên mang ví hay_là điện_thoại , nhất_là đối vs 1 cái đồng_hồ phải sạc mỗi ngày như cái này , nói_chung mình thấy cũng ko thiết_thực lắm , nếu dư giả thì có_thể mua để trải_nghiệm , chứ còn bảo để dùng như 1 phần mở_rộng thì cũng đúng cũng ko , ko vì nó chưa tương_xứng vs cái giá của nó , vì bỏ ra số tiền bằng hoặc hơn 1 cái i_Phone chỉ để mở_rộng 1 số tính_năng là chưa thuyết_phục . Cá_nhân mình cũng dùng dc 2 tuần nhưng thật_sự đôi_lúc mình thấy lấy đt ra nó vẫn tiện_lợi hơn rất nhiều , ko bay nhiều như chủ thớt để xài cái boarding pass trên AW , cũng tạm_thời chưa xài dc Apple_Pay vì Canada chưa hỗ_trợ , Uber khi nào nhậu say lắm quên hết đường về mới gọi chứ cũng ko thường_xuyên , tập_thể_dục thì ít mà cũng chả theo_dõi mấy cái thông_tin đấy nhiều . Mình tự nhận là heavy_user nên thấy pin cũng hơi chán . Cái thường_xuyên nhất mình dùng chắc là Starbucks_Card  
"
neutral,"Chuột này mua ở đâu bảo_hành 2 năm vậy ? loa.com.vn chỉ có 1 năm  
"
neutral,"con này pin kém hơn miband_2 bác ạ , do hiển_thị nhiều nội_dung hơn . màn_hình to hơn chút , đo tự_động chuẩn hơn miband_2 bác ạ
"
neutral,"Mình thì con M550b 2 pin AA xài cho 6 tháng , mua chỉ có 550k , xài gần 3 năm . Thế_là đủ , con này giá không yêu được !  
"
positive,"Mình mua đc chục hôm k thấy bị sao hết . 3g vina căng đét  
"
positive,"đây là chế_độ tiết_kiệm pin , khi mà đi du_lịch chụp hình nhiều , nghe nhạc nhiều , chơi game nhiều , đến chiều thì lại chỉ cần nghe gọi , hạ độ_phân_giải xuống bằng iphone_6s_plus để xử_lý nhẹ_nhàng tiết_kiệm pin là rất hợp_lý .
"
positive,"Chuẩn đó . . dùng android ( dòng s và note ) thì quá là ngon và tiện_dụng hữu_ích . . ifan còn biết chê_bai gì được nữa . .
"
neutral,"cho e hỏi là cái theo_dõi giấc_ngủ có phải bật gì ko ạ mà đi ngủ e tắt bluetooth đi thì nó ko hoạt_động : s  
"
neutral,"app trên ios ko có tiếng_việt hả mấy bạn
"
negative,"logitech chắc hàng phải tiền triệu trở_lên dùng mới thích chứ em dùng con có 400k thấy được vài bữa là hư . chuyển sang eblue dùng được hơn năm chưa thấy hỏng .  
"
negative,"đen xám thấy ghê
"
negative,"﻿Nhược_điểm của cả Elite và Surface_pro là đều có_giá chát .
"
positive,"Ôi , kết cái cách dịch của anh note_7 này quá .
"
positive,"Xiaomi là hãng TQ làm_ăn tốt nhất mình thấy đến thời_điểm hiện_tại ( dù mình vốn không thích TQ ) . Mọi sản_phẩm đều rất ngon , giá_cả rất ổn , sản_phẩm hợp_lí , thiết_kế rất ổn , hiện_đại , không màu_mè hay đơn_điệu lại hoàn_thiện rất tốt . Chưa từng nghe tiếng xấu gù về hãng này . Mi mà chịu chuyển sang Đài_Loan hay Hongkong chắc sẽ được tin_dùng hơn nhiều . P . s : vòng_tay này quá ngon , giá rẻ , ra chắc_chắn sẽ xúc liền một em  
"
positive,": wink0st : nó rất hay đấy không báo gửi như bản cũ mà nó lên ngay phần tin nhắn y_chang như anh đang chát yahoo ấy hi . . hi ... : wink0st : "" Ps : Hội I607 có 2 bạn Lanbupbe và Savijsc tuyệt thật , chịu_khó mày_mò và tìm_kiếm , tâm_đắc với máy của mình thật , mình dám cá với các bạn là 2 bạn này ngày thì kè_kè cái máy , tối nào cũng phải ngồi ôm lấy cái đt cả tiếng đồng_hồ trước khi đi ngủ "" em làm_việc suốt lúc rỗi mơi ghiên cứu dc tý . . chả bik anh savijsc thế_nào ...  
"
neutral,"em dùng chuột rất phá . Toi đời cỡ 5-6 con Logitech òi , toàn hỏng phím chuột trái . Từ hồi chuyển dùng Steelseries thấy có_vẻ vòng đời sản_phẩm lâu hơn , bền vãi .  
"
neutral,"bác này là dùng đồng_tiền để sinh tiếp ra tiền , đa_số mọi người ko có ý_nghĩ phải dùng hết chức_năng của công_nghệ để phục_vụ mình , cảm_ơn bác vì có người lộ_diện để chỉ cho mọi người biết rõ hơn cái khía_cạnh này , một phần Apple của mỹ , nó có 1 nền_tảng phụ_trợ mạnh như bác đang dùng nên đẳng_cấp của bác cũng khác nhiều so vs mọi người_ở các nước như việt nam bây h , hiện_tại đt giúp cho việc quản_lý thông_tin cá_nhân , mail , web , chứng_khoán , thời_tiết , book vé máy_bay , xem phim , khak sạn , nhiêu đó thôi e cũng đã thấy rất tuyệt_vời rồi  
"
neutral,"Mình tìm thử , có_vẻ Note_3 hay S4 lên Android_5.0 sẽ dính lỗi này . Bạn chịu_khó làm theo các cách trong diễn_đàn này thử http : / / en.miui.com/thread-85584-1-1.html Nhớ là unpair với các máy đã kết_nối trước đó
"
neutral,"69 thì ngủ_nghê sao đc  
"
neutral,"cắp cái úb reciver vô bật chuột on là xài đúng ko ta ? ? ? Mình cắm vô thấy chuột bất_động ... . .  
"
neutral,"Bạn thử unpair trước khi pair với em Note_3 đó chưa
"
negative,"tím nhìn giống đồ_chơi quá
"
positive,"Con này hiện còn 26tr hơn chút , có sẵn ssd luôn roài bạn  
"
positive,"ngày_trước dùng con Vodafone_703sh thật_là chất , nói_chung điện_thoại của Nhật kiểu_dáng rất là chất  
"
negative,"Chả biết nâng_cấp gì thì_thôi đành nâng_cấp ram để hút người tiêu_dùng vậy .
"
positive,"Mình căm_thù nokia vì mình mua con 1200 từ 2007 đến h vẫn k chịu hỏng để thay cái khác .
"
neutral,"Ko khác_gì vỏ ip xước là khỏi chữa nhưng đc cái khó xước hơn chút  
"
neutral,"mình nhớ là shield nó dùng android_tv_os nên sẽ không có hết ứng_dụng của ggplay
"
positive,"Em thấy pin em này quá ngon luôn . Tại em cũng có em này mà bị bể mất cạnh viền nhìn mất thẩm_mĩ quá , nên muốn trùng_tu nhan nhan_sắc cho em nó chút .  
"
neutral,"Vẫn phải tháo hạt khỏi vòng để xạc thì hơi thất_vọng , do nhanh hư vòng . Hi_vọng chất_liệu vòng tốt hơn  
"
neutral,"Còn buổi_sáng của mình đơn_giản là chuông báo_thức từ điện_thoại reo , với dt bấm volume ( ngắt chuông ) mở dt xem có tin_nhắn hay mail ko . dậy oánh răng rửa mặt rồi đi ăn sáng , đi làm . hết ) ai giống mình ^ ^
"
positive,"nhật lúc_nào cũng độc , cấu_hình rất tốt và không phải lúc_nào máy cũng hướng đến cái đẹp  
"
negative,"Hơi đắt
"
positive,"Đẹp quá , ASUS lột_xác thật rồi . 5.2 inch mà có bản RAM 4Gb thì quất liền .
"
negative,"﻿Con i_5 + vừa dầy vừa xấu hơn . cảm_nhận cá_nhân thôi  
"
negative,"Vâng rẻ nhất chỉ 4200 $
"
negative,"di_chuyển chuột ko mượt bạn ơi . Còn cáo Scroll cũng thấy bt nhưng chả biết sao cảm_giác ko thích lắm . Mới_đầu test train win thì ok nhưng giờ về nhà cắm mac the xảy_ra mấy chi khi chịu thật .  
"
neutral,"COn này không tăng được độ_sáng màn_hình . còn nó tự_động sáng khi lắc tay . chỉ có_thể cài_đặt thời_gian hiển_thị thôi .
"
positive,"Thích mấy thiết_kế của samsung ấy , đẹp , hợp xu_hướng
"
